datetime,power,global_radiation,temperature,Year,Month,Day,date
7/8/19 12:45,203.61,930.049,24.45,2019,7,8,7/8/2019
5/22/20 15:00,16.602,544.186,30.20,2020,5,22,5/22/2020
7/6/19 13:15,11.662,885.643,33.40,2019,7,6,7/6/2019
5/2/19 14:00,9.775,669.467,22.70,2019,5,2,5/2/2019
7/10/19 14:15,6.162,1021.733,28.65,2019,7,10,7/10/2019
7/22/20 16:45,5.889,747.83,31.55,2020,7,22,7/22/2020
5/13/19 14:30,4.196,1046.241,18.30,2019,5,13,5/13/2019
7/4/19 16:00,3.519,886.689,30.25,2019,7,4,7/4/2019
5/11/20 16:00,2.828,533.79,14.40,2020,5,11,5/11/2020
9/8/20 16:15,2.785,667.243,29.25,2020,9,8,9/8/2020
6/29/19 10:30,2.655,769.775,29.10,2019,6,29,6/29/2019
8/16/19 11:45,2.611,566.831,23.45,2019,8,16,8/16/2019
6/29/19 10:00,2.607,677.321,27.80,2019,6,29,6/29/2019
9/9/19 10:30,2.512,641.189,17.55,2019,9,9,9/9/2019
2/20/20 13:00,2.388,760.914,11.55,2020,2,20,2/20/2020
4/15/20 17:00,2.388,611.177,23.70,2020,4,15,4/15/2020
8/16/19 14:00,2.339,540.644,26.30,2019,8,16,8/16/2019
7/7/20 14:00,2.298,1216.999,26.85,2020,7,7,7/7/2020
9/5/20 14:00,2.287,418.566,24.85,2020,9,5,9/5/2020
7/11/20 13:15,2.273,1170.034,25.65,2020,7,11,7/11/2020
5/16/19 13:15,2.27,1182.365,19.05,2019,5,16,5/16/2019
6/26/20 15:15,2.244,458.013,35.55,2020,6,26,6/26/2020
6/7/19 12:15,2.235,1113.323,27.40,2019,6,7,6/7/2019
5/19/20 14:15,2.231,1158.345,29.45,2020,5,19,5/19/2020
5/29/19 12:45,2.23,1111.47,23.85,2019,5,29,5/29/2019
7/11/20 13:45,2.222,1166.344,25.10,2020,7,11,7/11/2020
5/29/20 13:00,2.22,1113.98,25.95,2020,5,29,5/29/2020
5/30/20 12:45,2.217,1103.938,25.90,2020,5,30,5/30/2020
5/19/20 13:45,2.215,1113.57,29.10,2020,5,19,5/19/2020
5/19/20 14:45,2.215,1187.523,30.05,2020,5,19,5/19/2020
5/29/19 13:15,2.201,1171.953,23.25,2019,5,29,5/29/2019
5/29/20 14:00,2.199,1101.028,26.10,2020,5,29,5/29/2020
5/15/19 13:30,2.198,1075.29,18.35,2019,5,15,5/15/2019
5/30/20 12:30,2.198,1115.256,26.10,2020,5,30,5/30/2020
6/6/20 13:45,2.198,1071.139,18.05,2020,6,6,6/6/2020
5/15/19 13:15,2.193,1067.79,18.65,2019,5,15,5/15/2019
5/29/19 13:30,2.192,1151.566,23.95,2019,5,29,5/29/2019
7/7/20 14:45,2.19,1065.262,26.80,2020,7,7,7/7/2020
5/19/20 14:00,2.189,1150.281,29.15,2020,5,19,5/19/2020
5/15/19 13:00,2.188,1065.311,18.05,2019,5,15,5/15/2019
5/15/19 13:45,2.186,1075.29,18.80,2019,5,15,5/15/2019
5/23/19 14:00,2.186,1066.046,26.60,2019,5,23,5/23/2019
5/29/19 12:30,2.185,1089.467,23.25,2019,5,29,5/29/2019
5/12/20 12:30,2.181,1074.321,17.05,2020,5,12,5/12/2020
5/15/19 12:45,2.179,1051.826,18.25,2019,5,15,5/15/2019
7/11/20 14:00,2.179,1019.251,26.30,2020,7,11,7/11/2020
7/11/20 12:00,2.177,1087.623,24.90,2020,7,11,7/11/2020
5/26/19 14:15,2.175,1088.073,25.90,2019,5,26,5/26/2019
8/23/20 13:00,2.174,1111.429,25.40,2020,8,23,8/23/2020
9/30/19 15:15,2.173,420.417,21.00,2019,9,30,9/30/2019
5/29/20 13:45,2.173,1062.359,25.70,2020,5,29,5/29/2020
5/15/19 14:00,2.171,1072.662,19.10,2019,5,15,5/15/2019
5/10/19 14:00,2.168,1080.744,21.00,2019,5,10,5/10/2019
6/16/19 12:15,2.168,343.68,26.85,2019,6,16,6/16/2019
5/12/20 13:45,2.167,1105.93,17.85,2020,5,12,5/12/2020
6/17/19 13:30,2.166,1100.675,30.80,2019,6,17,6/17/2019
5/31/19 14:45,2.165,1128.671,29.00,2019,5,31,5/31/2019
5/16/19 12:00,2.164,1051.167,18.55,2019,5,16,5/16/2019
5/29/20 13:30,2.162,1018.68,25.70,2020,5,29,5/29/2020
7/26/20 14:30,2.161,1151.866,28.65,2020,7,26,7/26/2020
5/15/19 12:30,2.159,1035.289,17.10,2019,5,15,5/15/2019
5/15/20 13:15,2.157,1058.96,20.05,2020,5,15,5/15/2020
5/6/20 13:15,2.155,1050.425,20.05,2020,5,6,5/6/2020
7/8/19 13:15,2.154,1117.426,25.20,2019,7,8,7/8/2019
7/20/19 14:30,2.154,1066.487,34.20,2019,7,20,7/20/2019
5/6/20 13:30,2.154,1050.49,20.20,2020,5,6,5/6/2020
5/15/20 13:00,2.154,1050.469,20.50,2020,5,15,5/15/2020
5/17/20 13:15,2.154,1056.792,22.40,2020,5,17,5/17/2020
5/28/20 13:45,2.153,1060.58,25.00,2020,5,28,5/28/2020
5/13/19 13:45,2.152,1066.207,17.85,2019,5,13,5/13/2019
5/15/19 14:15,2.152,1060.926,19.00,2019,5,15,5/15/2019
6/17/19 13:00,2.151,1142.891,30.50,2019,6,17,6/17/2019
5/6/20 13:00,2.15,1028.897,20.05,2020,5,6,5/6/2020
5/17/20 13:30,2.15,1061.1,22.95,2020,5,17,5/17/2020
6/1/20 13:00,2.15,1060.98,28.60,2020,6,1,6/1/2020
5/13/19 14:00,2.146,1065.752,18.30,2019,5,13,5/13/2019
5/15/20 13:30,2.146,1067.792,20.10,2020,5,15,5/15/2020
5/28/20 13:15,2.146,1054.35,24.90,2020,5,28,5/28/2020
6/22/20 13:15,2.146,1079.547,27.40,2020,6,22,6/22/2020
5/28/20 13:30,2.145,1064.316,24.35,2020,5,28,5/28/2020
5/17/20 13:00,2.144,1048.542,21.75,2020,5,17,5/17/2020
6/1/20 13:15,2.144,1060.98,28.05,2020,6,1,6/1/2020
6/1/19 13:00,2.143,1050.626,30.70,2019,6,1,6/1/2019
8/4/20 13:15,2.143,1089.507,25.45,2020,8,4,8/4/2020
5/5/19 14:00,2.142,1114.6,14.60,2019,5,5,5/5/2019
5/12/20 13:30,2.142,1095.717,18.00,2020,5,12,5/12/2020
